整合編號,食品分類,樣品名稱,樣品英文名稱,熱量-成分值(kcal),修正熱量-成分值(kcal),水分-成分值(g),粗蛋白-成分值(g),粗脂肪-成分值(g),灰分-成分值(g),總碳水化合物-成分值(g),膳食纖維-成分值(g),糖質總量-成分值(g),葡萄糖-成分值(g),果糖-成分值(g),麥芽糖-成分值(g),蔗糖-成分值(g),乳糖-成分值(g),鈉-成分值(mg),鉀-成分值(mg),鈣-成分值(mg),鎂-成分值(mg),鐵-成分值(mg),鋅-成分值(mg),磷-成分值(mg),銅-成分值(ug),維生素A效力(1)-成分值(I.U.),維生素A效力(2)(RE)-成分值(ug),α-胡蘿蔔素-成分值(ug),β-胡蘿蔔素-成分值(ug),視網醇-成分值(ug),維生素E效力(α-TE)-成分值(mg),維生素E總量-成分值(mg),α-生育醇-成分值(mg),β-生育醇-成分值(mg),γ-生育醇-成分值(mg),δ-生育醇-成分值(mg),維生素B1-成分值(mg),維生素B2-成分值(mg),菸鹼素-成分值(mg),維生素B6-成分值(mg),維生素B12-成分值(ug),葉酸-成分值(ug),維生素C-成分值(mg),脂肪酸S總量-成分值(mg),酪酸(4:0)-成分值(mg),己酸(6:0)-成分值(mg),辛酸(8:0)-成分值(mg),癸酸(10:0)-成分值(mg),月桂酸(12:0)-成分值(mg),十三脂酸(13:0)-成分值(mg),肉豆蔻酸(14:0)-成分值(mg),十五脂酸(15:0)-成分值(mg),棕櫚酸(16:0)-成分值(mg),十七脂酸(17:0)-成分值(mg),硬脂酸(18:0)-成分值(mg),十九脂酸(19:0)-成分值(mg),花生酸(20:0)-成分值(mg),山酸(22:0)-成分值(mg),廿四脂酸(24:0)-成分值(mg),脂肪酸M總量-成分值(mg),肉豆蔻烯酸(14:1)-成分值(mg),棕櫚烯酸(16:1)-成分值(mg),油酸(18:1)-成分值(mg),鱈烯酸(20:1)-成分值(mg),芥子酸(22:1)-成分值(mg),脂肪酸P總量-成分值(mg),亞麻油酸(18:2)-成分值(mg),次亞麻油酸(18:3)-成分值(mg),十八碳四烯酸(18:4)-成分值(mg),花生油酸(20:4)-成分值(mg),廿碳五烯酸(20:5)-成分值(mg),廿二碳五烯酸(22:5)-成分值(mg),廿二碳六烯酸(22:6)-成分值(mg),其他脂肪酸-成分值(mg),P/M/S-成分值(mg),水解胺基酸總量-成分值(mg),天門冬胺酸(Asp)-成分值(mg),酥胺酸(Thr)-成分值(mg),絲胺酸(Ser)-成分值(mg),麩胺酸(Glu)-成分值(mg),脯胺酸(Pro)-成分值(mg),甘胺酸(Gly)-成分值(mg),丙胺酸(Ala)-成分值(mg),胱胺酸(Cys)-成分值(mg),纈胺酸(Val)-成分值(mg),甲硫胺酸(Met)-成分值(mg),異白胺酸(Ile)-成分值(mg),白胺酸(Leu)-成分值(mg),酪胺酸(Tyr)-成分值(mg),苯丙胺酸(Phe)-成分值(mg),離胺酸(Lys)-成分值(mg),組胺酸(His)-成分值(mg),精胺酸(Arg)-成分值(mg),色胺酸(Trp)-成分值(mg),膽固醇-成分值(mg),酒精含量-成分值(g)
A00101,穀物類,大麥,Barley,367,335,11.6,9.3,3,1.9,74.2,15.3,,,,,,,37,376,33,108,2.4,1.4,180,,,,,,,1.44,3.02,1.24,0.07,1.69,0.02,0.36,0.08,5.2,0.29,,63,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9433,594,343,446,2314,1168,390,400,385,460,124,300,644,301,491,351,247,475,0,,
A00102,穀物類,大麥片,Barley flake; Barley chip,365,352,12.1,8.6,1.8,0.8,76.7,6,,,,,,,7,246,13,55,2.2,0.8,129,,0,0,0,0,,0.13,0.26,0.11,0.03,0.12,0.01,0.15,0.04,3.23,0.18,,27.7,9.8,450,0,0,0,0,0,0,0,0,414,0,36,0,0,0,0,306,0,0,270,18,36,1026,972,72,0,0,0,0,0,0,3.33/1.00/1.48,9031,474,288,359,2386,1259,332,335,351,427,106,331,654,276,474,312,201,422,44,,
A00201,穀物類,小米,Foxtail-millet; Millet,370,365,12.3,11.3,3.7,1.1,71.7,2.2,,,,,,,1,202,5,108,2.9,2.3,164,,0,0,0,0,,0.19,1.45,0.07,0.03,0.95,0.39,0.46,0.11,4.14,0.32,,45.1,0.1,444,0,0,0,0,0,0,0,0,333,0,74,0,37,0,0,851,0,0,814,37,0,2405,2368,37,0,0,0,0,0,0,5.41/1.87/1.00,10268,657,311,631,2199,1232,236,1104,265,462,232,403,772,367,546,147,215,331,160,,
A00301,穀物類,糯小米,Glutinous foxtail-millet; Glutinous millet,360,357,12.9,12.5,1.5,0.6,72.5,1.4,0,0,0,0,0,0,1,142,9,48,2.2,2,108,,96,9.6,0,57,,0.07,0.58,0.03,0.01,0.33,0.21,0.17,0.06,2.17,0.19,,28.5,0.5,255,0,0,0,0,0,0,0,0,195,0,30,0,15,0,0,345,0,0,330,0,0,915,885,15,0,0,0,0,0,0,3.58/1.33/1.00,11037,684,293,719,2639,390,112,1393,227,506,133,479,1615,399,638,127,233,271,179,,
A00401,穀物類,小麥,Wheat,362,338,12.6,14.1,2.6,1.5,69.2,11.3,,,,,,,1,364,19,137,3.4,3,241,,0,0,0,0,,1.65,3.5,1.27,0.56,1.6,0.07,0.41,0.1,5.39,0.27,,73.3,5.1,468,0,0,0,0,0,0,0,0,442,0,26,0,0,0,0,468,0,0,442,26,0,1664,1560,104,0,0,0,0,0,0,3.58/1.00/1.02,15029,711,426,690,4739,1899,606,502,574,588,185,493,1024,457,711,397,357,669,0,,
A00501,穀物類,小麥胚芽,Wheat germ,417,396,4.2,31.4,11.6,4.9,47.9,10,,,,,,,3,986,45,333,6,14.9,1173,,29,2.9,0,17,,15.51,19.13,13.2,5.72,0.21,0,2.44,0.52,4.02,1.4,,329.3,0,1740,0,0,0,0,0,0,0,0,1624,0,0,0,0,0,0,1856,0,0,1740,116,0,8004,7192,812,0,0,0,0,0,0,4.61/1.08/1.00,28887,2779,1235,1307,4479,1400,1842,1953,1412,1473,393,991,1995,833,1080,1996,779,2620,321,,
A00601,穀物類,水餃皮,Dumpling skin,262,259,33,7.8,0.5,1.8,57,1.5,,,,,,,629,65,13,16,0.6,0.3,52,,0,0,0,0,,0.02,0.08,0.01,0.01,0.07,0,0.05,0.02,0.53,0.05,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8881,327,220,400,3045,1050,287,259,751,328,66,287,593,194,391,169,169,237,110,,
A00602,穀物類,春捲皮,Spring roll skin,239,235,38.9,8.3,0.7,1.8,50.4,2,,,,,,,545,75,16,20,0.7,0.4,65,,0,0,0,0,,0.07,0.09,0.05,0.04,0,0,0.09,0.02,0.58,0,,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7669,324,213,400,2965,1004,274,255,109,21,64,280,564,164,367,167,165,207,127,,
A00603,穀物類,餛飩皮,Wonton skin,269,266,31.4,8.3,0.5,1.5,58.2,1.5,,,,,,,501,77,15,19,0.6,0.4,61,,0,0,0,0,,0.02,0.03,0.01,0.02,0,0,0.07,0.02,0.51,0,,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8259,346,227,421,3119,1055,288,268,143,337,45,307,590,181,387,172,172,202,0,,
A00701,穀物類,去筋麵粉,Non-glutinous flour,355,354,13.6,0.2,0.1,0.3,85.7,0.4,0,0,0,0,0,0,29,9,7,2,0,0,38,,0,0,,0,,0.02,0.04,0.02,0,0.02,0,0.01,0,0.1,0.02,,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
A00801,穀物類,低筋麵粉,Low-gluten flour; Cake flour; Patent flour,364,359,12,8.1,1.2,0.5,78.2,2,,,,,,,1,148,12,26,1.2,0.6,75,,0,0,0,0,,0.49,1,0.35,0.23,0.41,0.01,0.17,0.04,0.88,0.07,,40,5.1,252,0,0,0,0,0,0,0,0,228,0,12,0,0,0,0,180,0,0,168,12,0,768,720,48,0,0,0,0,0,0,4.19/1.00/1.37,8607,398,247,407,2857,1071,317,285,329,376,43,299,597,215,382,208,198,322,56,,
A00901,穀物類,中筋麵粉,Medium-gluten flour; Wheat flour: medium protein,361,357,12.6,11.5,1.3,0.5,74.1,1.8,,,,,,,4,125,12,29,0.9,0.7,76,,0,0,0,0,,0.33,0.84,0.23,0.16,0.47,0,0.12,0.07,1.01,0.08,,43.8,5.1,273,0,0,0,0,0,0,0,0,247,0,13,0,0,0,0,208,0,0,195,13,0,819,767,39,0,0,0,0,0,0,3.89/1.00/1.31,13037,510,335,580,4576,1691,453,384,442,525,149,456,898,389,626,267,282,474,0,,
A01001,穀物類,高筋麵粉,High-gluten flour; Seat of honor flour,362,358,12.3,12.9,1.2,0.6,73.1,1.9,,,,,,,1,108,11,33,1.2,0.9,81,,0,0,0,0,,0.29,0.7,0.2,0.11,0.39,0.01,0.12,0.03,1.13,0.07,,48.6,5,252,0,0,0,0,0,0,0,0,228,0,12,0,0,0,0,192,0,0,180,12,0,756,708,36,0,0,0,0,0,0,3.88/1.00/1.32,14070,591,382,657,4996,1879,511,415,488,587,58,473,932,348,617,286,318,458,73,,
A01101,穀物類,全麥麵粉,Whole wheat flour,359,342,12.7,13,1.7,1.2,71.4,8,0.3,0,0,0,0.3,0,2,277,23,97,3.4,2.3,251,,0,0,0,0,,0.87,2.51,0.56,0.39,1.55,0.01,0.33,0.07,4.09,0.24,,71.1,7.1,323,0,0,0,0,0,0,0,0,289,0,17,0,0,0,0,306,0,0,289,17,0,1071,1003,68,0,0,0,0,0,0,3.48/1.00/1.04,14294,651,392,640,4860,1629,567,462,297,597,145,515,1008,424,666,363,329,561,188,,
A01201,穀物類,雜糧中筋麵粉,,359,347,11.7,13.1,2.3,1,72,5.7,0.8,0.2,0,0.4,0.3,0,2,207,24,52,1.8,1.7,175,21,0,0,,0,,0.87,2,0.65,0.26,1.08,0,0.34,0.08,2.23,0.08,,63.1,2.9,644,0,0,0,0,0,0,0,0,598,0,23,0,0,0,23,368,0,0,345,23,0,1265,1196,69,0,0,0,0,0,23,3.57/1.00/1.80,11541,548,343,589,3980,1225,448,381,244,445,114,364,799,361,554,293,242,451,160,,
